name,team,passing_cmp,passing_att,passing_yds,passing_td,passing_int,passing_sk,passing_yds.1,passing_lng,passing_rate,rushing_att,rushing_yds,rushing_td,rushing_lng,receiving_tgt,receiving_rec,receiving_yds,receiving_td,receiving_lng,fumbles_fmb,fumbles_fl,stat_type,game_url,game_date,def_interceptions_int,def_interceptions_yds,def_interceptions_td,def_interceptions_lng,def_interceptions_pd,def_sacks,tackles_comb,tackles_solo,tackles_ast,tackles_tfl,tackles_qbhits,fumbles_fr,fumbles_yds,fumbles_td,fumbles_ff,position
Jared Goff,DET,22,35,253,1,0,1,3,33,94.1,5,-1,0,2,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
David Montgomery,DET,0,0,0,0,0,0,0,0,,21,74,1,8,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,0,0,0,0,0,0,0,0,,7,42,0,18,2,2,18,0,10,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Jalen Reeves-Maybin,DET,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Josh Reynolds,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,80,0,33,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,71,1,21,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Sam LaPorta,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,39,0,14,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Brock Wright,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,9,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,8,0,5,1,1,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Patrick Mahomes,KAN,21,39,226,2,1,0,0,34,77.5,6,45,0,16,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,8,23,0,7,4,4,31,0,10,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,6,22,0,5,1,1,7,0,7,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,48,0,34,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,45,0,26,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,24,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,1,8,0,0,offense,https://www.pro-football-reference.com/boxscores/202309070kan.htm,2023-09-07,,,,,,,,,,,,,,,,
