name,team,passing_cmp,passing_att,passing_yds,passing_td,passing_int,passing_sk,passing_yds.1,passing_lng,passing_rate,rushing_att,rushing_yds,rushing_td,rushing_lng,receiving_tgt,receiving_rec,receiving_yds,receiving_td,receiving_lng,fumbles_fmb,fumbles_fl,stat_type,game_url,game_date,def_interceptions_int,def_interceptions_yds,def_interceptions_td,def_interceptions_lng,def_interceptions_pd,def_sacks,tackles_comb,tackles_solo,tackles_ast,tackles_tfl,tackles_qbhits,fumbles_fr,fumbles_yds,fumbles_td,fumbles_ff
Lamar Jackson,BAL,26,41,273,1,0,1,6,49,90.8,16,122,0,16,0,0,0,0,0,1,1,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Derrick Henry,BAL,0,0,0,0,0,0,0,0,,13,46,1,9,2,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,2,14,0,8,10,6,37,0,19,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Justice Hill,BAL,0,0,0,0,0,0,0,0,,1,3,0,3,8,6,52,0,18,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,111,1,49,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,53,0,38,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,11,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Nelson Agholor,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Patrick Mahomes,KAN,20,28,291,1,1,2,10,35,101.9,2,3,0,4,1,1,2,0,2,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,15,45,1,5,3,2,33,0,23,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Xavier Worthy,KAN,0,0,0,0,0,0,0,0,,1,21,1,21,3,2,47,1,35,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Carson Steele,KAN,0,0,0,0,0,0,0,0,,2,3,0,5,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Rashee Rice,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,103,0,33,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,0,13,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,23,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,25,0,25,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Samaje Perine,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Roquan Smith,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,1,0,0,0,1,0.0,7,4,3,1,0,0,0,0,0
David Ojabo,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Trenton Simpson,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,1,0.5,5,2,3,0,2,0,0,0,0
Nnamdi Madubuike,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.5,2,0,2,0,2,0,0,0,0
Marcus Williams,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Odafe Oweh,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0
Michael Pierce,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Brandon Stephens,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Kyle Hamilton,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Malik Harrison,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Marlon Humphrey,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Eddie Jackson,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Travis Jones,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Nate Wiggins,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jalyn Armour-Davis,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
